FrameSize,Chainstay[mm],Reach[mm],Stack[mm],EffectiveTopTube[mm],Label
49,425,365,571,529,Gravel
52,425,374,577,542,Gravel
54,425,383,592,558,Gravel
56,425,392,610,573,Gravel
58,425,401,634,589,Gravel
61,425,410,659,605,Gravel
64,425,419,684,628,Gravel
47,422,366.6,516.7,505,Gravel
49,422,373.5,527.9,515,Gravel
52,422,377.3,550.5,530,Gravel
54,422,381.2,571.3,545,Gravel
56,422,384.6,592.3,560,Gravel
58,422,389,612.5,575,Gravel
61,422,397,613.6,590,Gravel
S,425,403,538,557,Gravel
M,425,415,569,578,Gravel
L,425,419,603,591,Gravel
XL,425,429,641,612,Gravel
47,435,385,527,520,Gravel
49,435,378,548,535,Gravel
53,435,380,574,550,Gravel
56,435,383,594,565,Gravel
59,435,397,615,585,Gravel
61,435,407,627,605,Gravel
XS,430,355,574,509,Gravel
S,430,373,581,529,Gravel
M,430,385,595,550,Gravel
L,430,385,609,560,Gravel
XL,425,388,622,572,Gravel
50.5,422.5,396,547,550,Gravel
53,422.5,398,563,562.5,Gravel
55.5,425,400,580,575,Gravel
58,425,409,600,592.5,Gravel
60.5,425,417,620,610,Gravel
XS,420,355,530,507,Gravel
S,420,365,554,524,Gravel
M,420,375,578,552,Gravel
L,420,385,602,569,Gravel
XL,420,395,626,586.5,Gravel
L,430,412,605,591,Gravel
44,420,353,519,510,Gravel
47,420,359,525,520,Gravel
50,420,368,537,535,Gravel
53,420,374,553,550,Gravel
56,425,386,580,575,Gravel
59,425,402,611,600,Gravel
XS/S (48cm),430,371,519,510,Gravel
S(50cm),430,385,524,525,Gravel
S/M(52cm),430,384,544,535,Gravel
M(54cm),430,376,554,545,Gravel
M/L(56cm),430,386,573,560,Gravel
L(58cm),430,395,590,575,Gravel
XL(60cm),430,404,609,590,Gravel
48,425,369,533.3,516.9,Gravel
51,425,378,548.2,530,Gravel
54,425,395.3,557.7,550,Gravel
57,425,403.9,576.9,570,Gravel
49,422,382,532,535,Gravel
52,422,391,560,552,Gravel
55,428,402,582,570,Gravel
58,428,426,605,600,Gravel
XS,430,368,518,525,Gravel
SM,430,377,549,544,Gravel
MD,430,385,579,561,Gravel
LG,430,394,610,579,Gravel
XL,430,402,640,596,Gravel
XS,425,375,524,515,Gravel
S,425,380,542,530,Gravel
M,425,379,569,548,Gravel
L,425,385,603,564,Gravel
XL,425,386,633,580,Gravel
44,420,365,516,501,Road
49,420,374,535,515,Road
52,420,376,552,542,Road
54,420,380,570,552,Road
56,420,385,596,564,Road
58,420,390,627,579,Road
61,420,396,649,591,Road
XS,415,365,510,511.2,Road
S,415,375,534,528.1,Road
M,415,385,558,555.7,Road
L,415,395,582,572.9,Road
XL,415,405,606,590.3,Road
49,405,336,535,509,Road
52,405,381,551,529,Road
55,405,393,565,550,Road
57,405,389,580,570,Road
59,405,394,601,590,Road
43,415,347.4,512.4,492,Road
46,415,357.5,524,509,Road
49,415,367.2,537.2,525,Road
51.5,415,373.6,549.2,536,Road
53,415,377.5,560.5,545,Road
54.5,415,381.6,572.8,555,Road
56,415,385,587.1,565,Road
58,415,388.9,605,577,Road
60,415,392.9,625,590,Road
49,415,380.2,538.7,525,Road
51,435,380.2,538.7,536,Road
53,435,400.3,538.7,545,Road
55,435,410.4,538.7,555,Road
2XS,415,368,500,513,Road
XS,415,378,522,529,Road
S,415,385,546,543,Road
M,415,391,567,556,Road
L,415,399,592,571,Road
XL,415,418,613,596,Road
2XL,415,428,631,612,Road
50,420,376,525,522,Road
54,420,379,555,533,Road
52,420,379,536,544,Road
56,420,389,572,559,Road
58,420,394,593,575,Road
60,420,398,612,591,Road
XS,415,369.9,501.7,509,Road
S,415,381.3,517.9,534.7,Road
S/M,415,385.2,539,545,Road
M,415,392.4,548.6,555,Road
L,415,399.5,558.2,565,Road
XL,415,405.2,572.5,575,Road
S(44cm),405,363,517,515,Road
S/M(47cm),405,370,528,530,Road
M(50cm),405,370,540,545,Road
M/L(53cm),405,379,560,560,Road
L(55cm),405,389,580,575,Road
L/XL(58cm),405,397,600,590,Road
51,415,395.8,537,550,Road
54,418,412.5,549,575,Road
57,418,435,567,605,Road
48,399,361,502,515,Road
51,399,370,522,530,Road
54,399,380,541,545,Road
56,399,394,560,565,Road
58,399,403,580,580,Road
61,399,409,599,592,Road
XS,425,375,524,515,Road
S,425,380,542,530,Road
M,425,379,569,548,Road
L,425,385,603,564,Road
XL,425,386,633,580,Road
55,404,398,556,552,Road
XXS/47,410,370.6,502.6,510,Road
XS/49,410,378.8,509,520,Road
S/52,410,384,526.7,535,Road
M/54,410,388.9,547.5,550,Road
L/56,410,394.5,568.3,565,Road
XL/58,410,400,588.5,580,Road
XXL/61,410,403.4,607.7,595,Road
S,425,422.5,588,597,MTB
M,425,445,598,618,MTB
L,425,465,608,638,MTB
XL,425,485,623,658,MTB
XS,425,392,597,552,MTB
S,425,415,597,575,MTB
M,425,435,602,596,MTB
L,430,455,616,620,MTB
XL,435,475,634,645,MTB
15.5,445,377,636,572,MTB
17,445,405,636,597,MTB
19,445,424,636,618,MTB
13,435,359,605,532,MTB
15,435,372,617,552,MTB
17,435,387,626,572,MTB
18.5,435,402,635,593,MTB
20,435,417,645,614,MTB
21.5,435,432,654,635,MTB
15,450,400.1,592.4,570,MTB
