FrameSize,Chainstay[mm],Reach[mm],Stack[mm],EffectiveTopTube[mm],Label
54,425,383,592,558,Gravel
56,422,384.6,592.3,560,Gravel
XL,425,429,641,612,Gravel
56,435,383,594,565,Gravel
M,430,385,595,550,Gravel
58,425,409,600,592.5,Gravel
M,420,375,578,552,Gravel
L,430,412,605,591,Gravel
56,425,386,580,575,Gravel
54,430,376,554,545,Gravel
54,425,395.3,557.7,550,Gravel
58,428,426,605,600,Gravel
XL,430,402,640,596,Gravel
55,430,394,590,574,Gravel
XL,425,386,633,580,Gravel
54,420,380,570,552,Road
L,415,395,582,572.9,Road
57,405,389,580,570,Road
58,415,388.9,605,577,Road
53,435,400.3,538.7,545,Road
L,415,399,592,571,Road
54,420,379,555,533,Road
L,415,399.5,558.2,565,Road
58,408,395,594,578,Road
58,405,397,600,590,Road
54,418,412.5,549,575,Road
56,399,394,560,565,Road
M,425,379,569,548,Road
55,404,398,556,552,Road
58,410,400,588.5,580,Road
XL,425,485,623,658,MTB
M,425,435,602,596,MTB
19,445,424,636,618,MTB
17,435,387,626,572,MTB
19,450,421,618.1,610,MTB
M,427,420,612,606,MTB
L,433.5,442.3,638.7,631.7,MTB
21,425,441.8,616.8,630.4,MTB
M,455,451,616,634,MTB
XL,440,465,640,654,MTB
M,425,422.3,603.6,600,MTB
19,440,435,629,615,MTB
XL,433,454,645,645,MTB
M,450,414,610,595,MTB
L,440,440,615,633.9,MTB
